,SMILES
1140,CC1(C)CC(=O)[C-](C(C2=C([O-])CC(C)(C)CC2=O)c2cccnc2)C(=O)C1
8380,NNC(=O)c1ccc(N2CCCCCC2)c([N+](=O)[O-])c1
3167,CCOC(=O)c1sc(NC(=O)COC(=O)CNC(=O)c2ccco2)c(C(=O)OCC)c1C
8373,COc1ccc(C(=O)NCC(=O)OCC(=O)N2CC(C)CC(C)C2)cc1
3149,CCOC(=O)c1c(NC(=O)CCN2C(=O)c3ccccc3C2=O)sc(C(=O)OC(C)C)c1C
3139,CC(=O)[C@@H]1[C@@H]2C(=O)N(C3CCCCC3)C(=O)[C@@H]2C2c3ccccc3C=C[NH+]21
3131,CCOC(=O)CN1CC23C=CC(O2)C(C(=O)NC2CCCCC2)C3C1=O
8349,CCCCCCCC1CC(CSc2nc[nH]n2)OC1=O
6686,CCCCC(=O)Nc1ccccc1C(C)C
6689,CCN(CC)S(=O)(=O)c1ccc(N2CCOCC2)c(NC(=O)CCC2CCCCC2)c1
1103,CCCCCC(O)CCCC(=O)[O-]
2974,Nc1nc(C2CCCCC2)cs1
285,CC(C(=O)N1CCCC1)c1ccc([N+](=O)[O-])cc1
2981,CC(C)C(O)(C#CC[NH+]1CCCC1)c1ccccc1
3112,COc1nc(OC)nc(N2CCC(C(=O)NC3CC3)CC2)n1
288,CCOC(=O)c1c(C)oc2c1C(=O)c1ccccc1C2=O
6724,COc1ccc(C(=O)CCC(C)(C)[N+](=O)[O-])cc1OC
1110,CCN(CC)c1ccc(C=C2C(=O)OC(C)(C(C)(C)C)OC2=O)cc1
8183,COc1cc(C(=O)[O-])ccc1O
3035,COC(=O)c1c(NC(=O)c2ccco2)sc(C(=O)N2CCCC2)c1C
298,CC(C)CC[NH+](C)C1CCN(S(=O)(=O)c2cccc(C(F)(F)F)c2)CC1
1118,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC(C(=O)[O-])CC1
6748,Cc1[nH]c(C)c(C(=O)[O-])c1C[NH2+]C1CCCCC1C
4321,CC1=C(C)CC(C(=O)c2ccc(C)cc2)C(C(=O)[O-])C1
6760,CCC(C)C1C(C#N)=C([NH3+])OC2=C1C(=O)CC(C)(C)C2
2883,CC(C)(C)OC(=O)[C@H](Cc1ccccc1)NC(=O)c1[nH]cnc1C(=O)NC1CCN(C(=O)OC(C)(C)C)CC1
6628,CCCOC(=O)c1[nH]c2c(c1C)C(=O)CC(c1cccs1)C2
2856,CCCOC(=O)CC1C(=O)NCC[NH+]1Cc1cc(OC)cc(OC)c1
